име,презиме,фамилия,клас,номер, брой решени задачи
тест,тест,тест,11б,1,15
тест,тест,тест,11б,2,10
тест,тест,тест,11б,3,10
тест,тест,тест,11б,4,17
тест,тест,тест,11б,5,17
тест,тест,тест,11б,6,17
тест,тест,тест,11б,7,10
тест,тест,тест,11б,8,10
тест,тест,тест,11б,9,10
тест,тест,тест,11б,10,10
тест,тест,тест,11б,11,17
тест,тест,тест,11б,12,10
тест,тест,тест,11б,13,17
тест,тест,тест,11б,14,17
тест,тест,тест,11б,15,10
тест,тест,тест,11б,16,10
тест,тест,тест,11б,17,17
тест,тест,тест,11б,18,10
тест,тест,тест,11б,19,17
тест,тест,тест,11б,20,10
тест,тест,тест,11б,21,10
тест,тест,тест,11б,22,17
тест,тест,тест,11б,23,17
тест,тест,тест,11б,24,10
