име,презиме,фамилия,клас,номер,език
тест,тест,тест,11б,1,Ruby
тест,тест,тест,11б,2,Python
тест,тест,тест,11б,3,Python
тест,тест,тест,11б,4,Ruby
тест,тест,тест,11б,5,Ruby
тест,тест,тест,11б,6,Ruby
тест,тест,тест,11б,7,Python
тест,тест,тест,11б,8,Python
тест,тест,тест,11б,9,Python
тест,тест,тест,11б,10,Python
тест,тест,тест,11б,11,Ruby
тест,тест,тест,11б,12,Python
тест,тест,тест,11б,13,Ruby
тест,тест,тест,11б,14,Ruby
тест,тест,тест,11б,15,Python
тест,тест,тест,11б,16,Python
тест,тест,тест,11б,17,Ruby
тест,тест,тест,11б,18,Python
тест,тест,тест,11б,19,Ruby
тест,тест,тест,11б,20,Python
тест,тест,тест,11б,21,Python
тест,тест,тест,11б,22,Ruby
тест,тест,тест,11б,23,Ruby
тест,тест,тест,11б,24,Python
